FIPSCd,CountyName,StateCd,UnemploymentPct,PovertyPct,EducBachlOrHigherPct,PercentDem,PercentRep
34021.0,,,0.040999999999999995,0.114,0.41500000000000004,66.3,30.1
34023.0,,,0.040999999999999995,0.085,0.42,58.3,38.6
34025.0,,,0.040999999999999995,0.073,0.44,43.6,53.1
34027.0,,,0.036000000000000004,0.049,0.526,46.0,50.4
34029.0,,,0.048,0.102,0.284,31.5,65.5
34031.0,,,0.057,0.165,0.27,59.5,37.8
34033.0,,,0.062000000000000006,0.133,0.21,40.3,55.6
34035.0,,,0.038,0.053,0.531,54.4,41.9
34037.0,,,0.044000000000000004,0.053,0.344,32.7,62.9
34039.0,,,0.048,0.09300000000000001,0.341,66.3,30.8
34041.0,,,0.042,0.07400000000000001,0.317,35.1,60.7
35001.0,,,0.052000000000000005,0.146,0.334,52.6,34.8
35003.0,,,0.066,0.212,0.258,21.0,71.8
35005.0,,,0.061,0.189,0.19,27.4,63.8
35006.0,,,0.07400000000000001,0.30100000000000005,0.12400000000000001,46.7,39.9
35007.0,,,0.057,0.198,0.20500000000000002,40.2,48.7
35009.0,,,0.046,0.189,0.19899999999999998,24.6,67.0
35011.0,,,0.044000000000000004,0.22,0.10400000000000001,21.3,68.3
35013.0,,,0.065,0.263,0.27399999999999997,54.2,36.2
35015.0,,,0.05,0.16899999999999998,0.162,25.7,67.2
35017.0,,,0.057999999999999996,0.203,0.27,49.3,41.6
35019.0,,,0.063,0.226,0.131,53.2,32.7
35021.0,,,0.06,0.151,0.24,29.6,59.0
35023.0,,,0.049,0.24800000000000003,0.14400000000000002,42.5,49.3
35025.0,,,0.063,0.161,0.131,22.3,70.9
35027.0,,,0.053,0.158,0.29600000000000004,26.3,66.5
35028.0,,,0.037000000000000005,0.037000000000000005,0.655,52.2,31.9
35029.0,,,0.134,0.28300000000000003,0.141,44.1,48.0
35031.0,,,0.08199999999999999,0.378,0.10800000000000001,63.3,23.5
35033.0,,,0.076,0.226,0.127,63.1,27.3
35035.0,,,0.057999999999999996,0.185,0.18300000000000002,30.7,59.9
35037.0,,,0.059000000000000004,0.239,0.154,28.6,62.2
35039.0,,,0.061,0.289,0.185,64.6,24.3
35041.0,,,0.05,0.257,0.245,24.7,66.0
35043.0,,,0.059000000000000004,0.153,0.30100000000000005,45.2,42.5
35045.0,,,0.07200000000000001,0.231,0.146,28.2,61.3
35047.0,,,0.071,0.292,0.196,68.0,21.6
35049.0,,,0.049,0.122,0.414,71.3,20.3
35051.0,,,0.07400000000000001,0.266,0.192,31.2,58.5
35053.0,,,0.061,0.28300000000000003,0.195,48.5,38.4
35055.0,,,0.076,0.228,0.277,70.0,18.0
35057.0,,,0.08199999999999999,0.267,0.177,28.3,59.1
35059.0,,,0.036000000000000004,0.17600000000000002,0.159,18.8,71.9
35061.0,,,0.063,0.17500000000000002,0.163,39.5,48.2
36001.0,,,0.042,0.113,0.405,59.5,35.2
36003.0,,,0.066,0.163,0.198,26.1,68.4
36005.0,,,0.063,0.27899999999999997,0.19399999999999998,88.7,9.6
36007.0,,,0.055999999999999994,0.17500000000000002,0.28,45.3,49.0
36009.0,,,0.062000000000000006,0.158,0.189,30.1,64.5
36011.0,,,0.05,0.126,0.22399999999999998,40.5,53.8
36013.0,,,0.06,0.177,0.212,35.0,59.6
36015.0,,,0.055,0.153,0.251,37.3,57.3
36017.0,,,0.053,0.126,0.18600000000000003,32.8,60.9
36019.0,,,0.053,0.13699999999999998,0.219,47.4,46.4
36021.0,,,0.038,0.105,0.30100000000000005,48.1,46.8
36023.0,,,0.057999999999999996,0.157,0.26,43.3,50.0
36025.0,,,0.055,0.179,0.21600000000000003,32.8,61.9
36027.0,,,0.043,0.10099999999999999,0.34600000000000003,47.3,48.4
36029.0,,,0.051,0.145,0.329,50.1,45.4
36031.0,,,0.055,0.106,0.267,44.8,48.2
36033.0,,,0.06,0.189,0.187,43.0,50.4
36035.0,,,0.057999999999999996,0.159,0.177,29.7,65.2
36037.0,,,0.048,0.10800000000000001,0.214,28.4,65.3
36039.0,,,0.052000000000000005,0.127,0.22,33.8,61.2
36041.0,,,0.07400000000000001,0.098,0.2,28.0,66.8
36043.0,,,0.057,0.14300000000000002,0.207,30.0,64.6
36045.0,,,0.065,0.151,0.214,35.9,58.2
36047.0,,,0.047,0.198,0.35200000000000004,79.7,17.9
36049.0,,,0.066,0.125,0.163,27.4,67.1
36051.0,,,0.05,0.12,0.237,33.4,61.3
36053.0,,,0.055,0.10800000000000001,0.27,38.5,54.4
36055.0,,,0.049,0.146,0.371,54.4,40.3
36057.0,,,0.057,0.17800000000000002,0.17,34.2,60.7
36059.0,,,0.040999999999999995,0.062000000000000006,0.444,51.3,45.9
36061.0,,,0.040999999999999995,0.163,0.6070000000000001,87.2,10.0
36063.0,,,0.062000000000000006,0.12400000000000001,0.23500000000000001,38.2,57.2
36065.0,,,0.05,0.161,0.239,36.7,57.8
36067.0,,,0.047,0.13699999999999998,0.35000000000000003,53.6,40.8
